"","id_domena","domena","czy_dziala","telefon","nip","krs","webEniro","webFachowcy","webCSGroup","PNA","version","sunrise","rzetelna","koszyk","data","facebook","instagram","linkedin","allegro","otomoto","googleplus","youtube","title","mail","ulica"
"1",8617,"biotrade.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","","","0"
"2",10867,"ogrodolandia.pl",1,"602790598","7642076391","0",0,0,0,"64-207","2.3",0,0,1,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ogrodolandia.pl - sklep z meblami i architekturą ogrodową","kontakt@ogrodolandia.pl","Jerzego z Dąbrowy"
"3",47872,"sztolnia.eu",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"4",48161,"cykas.republika.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hurtownia sztucznych kwiatów CYKAS","","0"
"5",49410,"kojot.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","PRACOWNIA KUŚNIERSKA KOJOT – FUTRA I DODATKI FUTRZANE","","irma „Kojot” powstała w"
"6",49411,"ageva.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","","","0"
"7",50522,"nowoczesne-lazienki.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,1,"2017-11-07","","","","http://allegro.pl/listing.php/user?us_id=20394380","","","","Wszystko do Twojej łazienki, sklep w Bełchatowie. Komfort i wygoda zakupów","","pagination{position: relative; top:"
"8",51113,"grandslam.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","klub tenisowy GRAND SLAM Warszawa. Maciej Sikorski","","0"
"9",51244,"ivt.pl",1,"618161767","7811009978","0000115269",0,0,0,"62-081","2.3",0,0,0,"2017-11-07","","","","","","","","IVT.PL Produkty dla ścian i dachów","doradca.techniczny@ivt.pl","Kamienna"
"10",51252,"instalacjesanitarne.lublin.pl",1,"507032064","0","0",0,0,0,"07-032","2.3",0,0,0,"2017-11-07","","","","","","","","Instalacje sanitarne Lublin | Instalacje solarne Lublin | Przydomowe oczyszczalnie cieków Lublin | Rekuperacja lublin | Stacje uzdatniania wody Lublin - Konrad Wieczorkiewicz","biuro@instalacjesanitarne.lublin.pl","Lędzian"
"11",51259,"igelproject.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","Sex telefon – projekt rozmów","",""
"12",51587,"bramator.pl",1,"601211870","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","Bramator – Bramy, okna i drzwi","bramator@bramator.pl","0"
"13",51841,"gramet.com.pl",1,"343281085","0","0",0,0,0,"09-340","2.3",0,0,0,"2017-11-07","","","","","","","","Producent dewocjonalii srebrnych - GRAMET","naadresgramet@gramet.com","Ogrodowa"
"14",52948,"ekomiarlab.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","","","0"
"15",53563,"atrax.pl",1,"0","9552038749","0",0,0,0,"70-783","2.3",0,0,1,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ATRAX - Komputery Akcesoria Serwis Notebooki Laptopy Tablety","","Kostki Napierskiego"
"16",53571,"goral-zywiec.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","","","0"
"17",53752,"kredyty-pulawy.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kredyty Puławy - 30 banków w 1 miejscu","",""
"18",53763,"wshe.edu.pl",1,"774160070","0","0",0,0,0,"49-300","2.3",0,0,0,"2017-11-07","https://www.facebook.com/pages/Wy%C5%BCsza-Szko%C5%82a-Humanistyczno-Ekonomiczna-w-Brzegu/205240126171642","NULL","NULL","NULL","NULL","https://plus.google.com/110833158470399182450/about","NULL","WSHE Brzeg","",""
"19",54399,"impaxim.com",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","","","0"
"20",54827,"decoon.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","DECOon - tkaniny & wnetrza","","0"
"21",55182,"smurfitkappa-papersack.com",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Registered & Protected by MarkMonitor","","0"
"22",55484,"softoffice.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","Artykuły i materiały biurowe Wrocław - softoffice.pl","","0"
"23",55734,"e-piotripawel.pl",1,"822113929","0","0",0,0,0,"48-222","2.3",0,0,1,"2017-11-07","https://www.facebook.com/piotripawelstronaoficjalna/","https://www.instagram.com/piotripawel/","","","","","https://www.youtube.com/user/piotripaweloficjalny","Supermarket Internetowy Piotr i Paweł - Sklep spożywczy online z dostawą do domu","",""
"24",56482,"expres-sat.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","","","0"
"25",57185,"ata-technik.com.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","","","0"
"26",58128,"wlodarski.org",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","https://www.facebook.com/wlodarskigalerie/","https://www.instagram.com/iwlodarska/?hl=pl","NULL","NULL","NULL","https://plus.google.com/+IzabelaW%C5%82odarska","NULL","Izabela Włodarska. Aranżacja wnętrz Legnica, Wrocław.","",""
"27",58445,"smarten.pl",1,"601709708","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","https://www.facebook.com/SMARTENpl-137377906307290/timeline/","","","","","","","Smarten.pl","smarten@smarten.pl","0"
"28",58446,"dufajn.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","Przedsiębiorstwo Handlowe Halina Dufajn","","0"
"29",58687,"acrlegal.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","","","","","","","","Kancelaria radców prawnych – ACR – Kraków, Warszawa ","","0"
"30",58809,"dynapac.com",1,"0","0","0",0,0,0,"87-175","2.3",0,0,0,"2017-11-07","https://www.facebook.com/dynapac/","https://www.instagram.com/dynapac_","https://www.linkedin.com/company/dynapac","NULL","NULL","NULL","https://www.youtube.com/dynapac","Dynapac - Fayat Group • FAYAT GROUP COMPANIES","mailto:webmaster@dynapac.com","Zone Industrielle Boulaïd Blida"
"31",58831,"cherrycraft.pl",1,"662069124","5242395223","0",0,0,0,"62-069","2.3",0,0,1,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SCRAPBOOKING - CHERRY CRAFT - Sklep internetowy - Warszawa","sklep-cherrycraft@o2.pl","Lwa"
"32",59015,"genbud.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-07","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Motivizer","","0"
