"","id_domena","domena","czy_dziala","telefon","nip","krs","webEniro","webFachowcy","webCSGroup","PNA","version","sunrise","rzetelna","koszyk","data","facebook","instagram","linkedin","allegro","otomoto","googleplus","youtube","title","mail","ulica"
"1",400265,"twojeautozniemiec.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","AUTO Gasiński - www.gasinski.pl - samochody nowe, samochody używane","","0"
"2",404031,"profitpartner.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","PROFIT PARTNER - Niezależni Doradcy Telekomunikacyjni","",""
"3",404238,"komornikzywiec.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"4",409941,"kancelaria-factoria.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Factoria - Kancelaria Radcy Prawnego Emiliana Pieczyñskiego","","0"
"5",412081,"hotel-pomorski.dmf.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"6",412084,"eloserwis.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"7",415204,"cartell-pl.com",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","Cartell PL sp. zo.o. - Strona glÃ³wna","","0"
"8",417445,"fincodach.pl",1,"504502500","8522103252","0",0,0,0,"70-653","2.3",0,0,1,"2017-11-08","","","","","","","","home.pl : Najlepszy hosting. Domeny, serwery, e-mail, sklepy internetowe, SSL","","Zbożowa"
"9",418769,"elkom-serwis.com.pl",1,"603939349","0","0",0,0,0,"0","2.3",0,0,1,"2017-11-08","","","","https://allegro.pl/uzytkownik/10701043/oceny","","","","sklep elektroniczny z częściami i podzespołami ELKOM-SERWIS. układy scalone, diody LED,diody, tranzystory, przekaźniki. - Sklep ELKOM-SERWIS","","Lampa warsztatowa"
"10",421425,"teatr.carodance.eu",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","Strona główna","","0"
"11",421664,"komornikjaslo.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"12",422617,"lin-artdent.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","index","","0"
"13",425174,"stomex.pl",1,"601504588","0","0",0,0,0,"43-365","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Serwis foteli stomatologicznych, fotele stomatologiczne, lampy wolnostojące, lampy diodowe","biuro@stomex.pl",""
"14",426231,"hidserwis.pl",1,"518455575","0","0",0,0,0,"75-363","2.3",0,0,0,"2017-11-08","","","","http://allegro.pl/show_user.php?uid=22076574","","","","Hidserwis - xenony naprawa przetwornic i oświetlenia LED","hidserwis@gmail.com","M. Gąszczak"
"15",427914,"prospaw.hd5.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"16",430037,"automyjnia.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"17",430443,"automater.pl",1,"0","9512371767","0000475203",0,0,0,"10-201","2.3",0,0,1,"2017-11-08","","","","http://allegro.pl/show_user.php?search=blackkittyllc&search_scope=user","","","","Automatyzacja sprzedaży i wysyłki wirtualnych produktów - Automater","","Żurawia"
"18",442481,"carfi.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","Carfi Sp. z o.o. POLSKA","","0"
"19",445459,"www.diagcar.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","UrzÄdzenia do diagnostyki samochodowej","","0"
"20",448792,"caren.za.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"21",450255,"musiccar.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Strona domeny musiccar.pl","","0"
"22",450793,"cargaz.net.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CarGaz","","0"
"23",453969,"reauto.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","Auto SPA Wesoła - myjnia parowa, myjnia ręczna, car detailing, wypożyczalnia samochodów, rent a car","","0"
"24",455861,"vipauto.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","tunig, auto tunig, okleiny samochodowe, motoryzacja","","0"
"25",461525,"autowax.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","autowax.pl","","0"
"26",462056,"sportserwis.net.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SportSerwis Sprzęt do podnoszenia ciężarów Wyposażenie siłowni Fitness Sztangi","","0"
"27",462113,"auto-jar.za.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"28",467517,"chelm.caritas.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"29",477768,"carnisana.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"30",477797,"dentis.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"31",481593,"tvserwis.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","Serwis TV - komputery","","0"
"32",483062,"smartcard.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","                 smartcard.com.pl         ","","0"
"33",486321,"autokolo.net.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","autokolo – Jak dbać o samochód nowy i używany","","0"
"34",487581,"stempel-serwis.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
