"","id_domena","domena","czy_dziala","telefon","nip","krs","webEniro","webFachowcy","webCSGroup","PNA","version","sunrise","rzetelna","koszyk","data","facebook","instagram","linkedin","allegro","otomoto","googleplus","youtube","title","mail","ulica"
"1",226401,"topmedia.com.pl",1,"583268604","5832686045","0000290091",0,0,0,"86-045","2.3",0,0,0,"2017-11-08","","","","","","","","TOP MEDIA - O nas","","Powstańców Śląskich"
"2",226537,"agencjacelnaxp.neostrada.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"3",226668,"www.navpro.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","","","0"
"4",226989,"sigiljewels.com",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","https://www.facebook.com/SigilJewels","https://instagram.com/sigiljewels/","","","","","","Sigil Jewels - Autorski projekt, Polska marka!","",""
"5",227236,"ikonastudio.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","IKONA – Najlepsze tematy, najlepsze albumy","",""
"6",227307,"arraprojekt.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"7",227806,"dsi.gda.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","DSI oprogramowanie dla firm, urzadzenia fiskalne, drukarki etykiet, wagi, czytniki kodów kreskowych - Gdańsk Gdynia Sopot","","0"
"8",227931,"utrans.cze.pl",1,"343698211","0","0",0,0,0,"42-200","2.3",0,0,0,"2017-11-08","","","","","","","","U TRANS,transport,krajowy,miedzynarodowy,obsługa spedytorska,spedycja,ciągnik siodłowy, naczepa,oplandekowane,przewozy,transportowanie,szkła,wysokich płyt,tabor samochodowy,ciężarowy,Czestochowa","utrans@cze.pl","Bór"
"9",227973,"konieczny.slask.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Serwis zosta³ zablokowany","","0"
"10",228090,"kamieniarstwo-krupa.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","","","","","","","","Kamieniarstwo Krupa Jadwiga","",""
"11",228099,"zpas.net",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-08","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ZPAS S.A. - Zakład Produkcji Automatyki Sieciowej","","0"
